Delta Junction/Ft Greely;BIG;Alaska
Denver;DEN;Colorado
Des Moines;DSM;Iowa
Detroit;DTW;Michigan
Dickinson;DIK;North Dakota
Dillon;DLN;Montana
Dodge City;DDC;Kansas
Douglas Bisbee;DUG;Arizona
Dubuque;DBQ;Iowa
Duluth;DLH;Minnesota
El Paso;ELP;Texas
Elkins;EKN;West Virginia
Ely;ELY;Nevada
Ephrata;EPH;Washington
Erie;ERI;Pennsylvania
Eugene;EUG;Oregon
Eureka;EKA;California
Eureka;P68;Nevada
Evansville;EVV;Indiana
Fairbanks;FAI;Alaska
Fargo;FAR;North Dakota
Flint;FNT;Michigan
Fort Lauderdale;FLL;Florida
Fort Smith;FSM;Arkansas
Fort Wayne;FWA;Indiana
Fort Worth;FTW;Texas
Fresno;FAT;California
Gage;GAG;Oklahoma
Gainesville;GNV;Florida
Galveston;GLS;Texas
Glasgow;GGW;Montana
Glens Falls;GFL;New York
Goodland;GLD;Kansas
Grand Forks;GFK;North Dakota
Grand Island;GRI;Nebraska
Grand Junction;GJT;Colorado
Grand Rapids;GRR;Michigan
Great Falls;GTF;Montana
Green Bay;GRB;Wisconsin
Greensboro;GSO;North Carolina
Greenville;GLH;Mississippi
Greenwood;GWO;Mississippi
Greer;GSP;South Carolina
Gulfport;GPT;Mississippi
Gulkana;GKN;Alaska
Gustavus;GST;Alaska
Harrisburg;MDT;Pennsylvania
Harrison;HRO;Arkansas
Hattiesburg;HBG;Mississippi
Havre;HVR;Montana
Hayward;HWD;California
Helena;HLN;Montana
Hickory;HKY;North Carolina
Hilo;ITO;Hawaii
Homer;HOM;Alaska
Honolulu;HNL;Hawaii
Houghton Lake;HTL;Michigan
Houston;HOU;Texas
Huntington;HTS;West Virginia
Huntsville;HSV;Alabama
Huron;HON;South Dakota
Iliamna;ILI;Alaska
Indianapolis;IND;Indiana
International Falls;INL;Minnesota
Islip;ISP;New York
Jackson;JAN;Mississippi
Jackson;JKL;Kentucky
Jacksonville;JAX;Florida
Juneau;JNU;Alaska
Kahului;OGG;Hawaii
Kalispell;GPI;Montana
Kansas City;MCI;Missouri
Kaunakakai;MKK;Hawaii
Kenai;ENA;Alaska
Ketchikan;KTN;Alaska
Key West;EYW;Florida
King Salmon;AKN;Alaska
Kingman;IGM;Arizona
Knoxville;TYS;Tennessee
Kodiak;ADQ;Alaska
Kotzebue;OTZ;Alaska
La Crosse;LSE;Wisconsin
Lake Charles;LCH;Louisiana
Lander;LND;Wyoming
Lansing;LAN;Michigan
Las Vegas;LAS;Nevada
Lewiston;LWS;Idaho
Lexington;LEX;Kentucky
Lihue;LIH;Hawaii
Lincoln;LNK;Nebraska
Long Beach;LGB;California
Los Angeles;LAX;California
Louisville;SDF;Kentucky
Lubbock;LBB;Texas
Lynchburg;LYH;Virginia
Macon;MCN;Georgia
Madison;MSN;Wisconsin
Mansfield;MFD;Ohio
Marquette;MQT;Michigan
Mc Grath;MCG;Alaska
Medford;MFR;Oregon
Medicine Lodge;P28;Kansas
Memphis;MEM;Tennessee
Mercury;DRA;Nevada
Meridian;MEI;Mississippi
Miami;MIA;Florida
Midland;MAF;Texas
Miles City;MLS;Montana
Milton;MQE;Massachusetts
Milwaukee;MKE;Wisconsin
Minneapolis;MSP;Minnesota
Missoula;MSO;Montana
Mobile;MOB;Alabama
Moline;MLI;Illinois
Montgomery;MGM;Alabama
Mt. Washington;MWN;New Hampshire
Muskegon;MKG;Michigan
Nashville;BNA;Tennessee
New Orleans;MSY;Louisiana
New York;LGA;New York
Newark;EWR;New Jersey
Newark;NWK;DE
Nome;OME;Alaska
Norfolk;OFK;Nebraska
Norfolk;ORF;Virginia
North Little Rock;LZK;Arkansas
North Platte;LBF;Nebraska
Northway;ORT;Alaska
Oak Ridge;OQT;Tennessee
Oklahoma City;OKC;Oklahoma
Olympia;OLM;Washington
Omaha;OMA;Nebraska
Orlando;MCO;Florida
Paducah;PAH;Kentucky
Palmer;PAQ;Alaska
Pendleton;PDT;Oregon
Pensacola;PNS;Florida
Peoria;PIA;Illinois
Petersburg;PSG;Alaska
Philadelphia;PHL;Pennsylvania
Phoenix;PHX;Arizona
Pierre;PIR;South Dakota
Pittsburgh;PIT;Pennsylvania
Pocatello;PIH;Idaho
Ponca City;PNC;Oklahoma
Portland;PDX;Oregon
Portland;PWM;Maine
Providence;PVD;Rhode Island
Pueblo;PUB;Colorado
Puntilla Lake;PTI;Alaska
Quillayute;UIL;Washington
Quincy;UIN;Illinois
Raleigh/Durham;RDU;North Carolina
Rapid City;RAP;South Dakota
Rawlins;RWL;Wyoming
Red Bluff;RBL;California
Redding;RDD;California
Redmond;RDM;Oregon
Reno;RNO;Nevada
Richmond;RIC;Virginia
Roanoke;ROA;Virginia
Rochester;ROC;New York
Rochester;RST;Minnesota
Rockford;RFD;Illinois
Rolla/Vichy;VIH;Missouri
Roswell;ROW;New Mexico
Sacramento;SAC;California
Salem;SLE;Oregon
Salinas;SNS;California
Salisbury;SBY;Maryland
Salt Lake City;SLC;Utah
San Angelo;SJT;Texas
San Antonio;SAT;Texas
San Diego;SAN;California
San Francisco;SFO;California
San Juan;SJU;Puerto Rico
Sandberg;SDB;California
Santa Barbara;SBA;California
Santa Maria;SMX;California
Sault Ste Marie;ANJ;Michigan
Savannah;SAV;Georgia
Scottsbluff;BFF;Nebraska
Seattle;SEA;Washington
Shemya;SYA;Alaska
Sheridan;SHR;Wyoming
Shreveport;SHV;Louisiana
Sidney;SNY;Nebraska
Sioux City;SUX;Iowa
Sioux Falls;FSD;South Dakota
Sitka;SIT;Alaska
Skagway;SGY;Alaska
Slidell;ASD;Louisiana
South Bend;SBN;Indiana
Spokane;GEG;Washington
Springfield;SGF;Missouri
Springfield;SPI;Illinois
St Cloud;STC;Minnesota
St Joseph;STJ;Missouri
St Louis;STL;Missouri
St Paul Island;SNP;Alaska
Stockton;SCK;California
Syracuse;SYR;New York
Talkeetna;TKA;Alaska
Tallahassee;TLH;Florida
Tampa;TPA;Florida
Tanana;TAL;Alaska
Toledo;TOL;Ohio
Topeka;TOP;Kansas
Tucson;TUS;Arizona
Tulsa;TUL;Oklahoma
Tupelo;TUP;Mississippi
Unalakleet;UNK;Alaska
Utqiagvik (Barrow);BRW;Alaska
Valentine;VTN;Nebraska
Vero Beach;VRB;Florida
Victoria;VCT;Texas
Waco;ACT;Texas
Wallops Island;WAL;Virginia
Washington;DCA;Virginia
Waterloo;ALO;Iowa
West Palm Beach;PBI;Florida
Wichita;ICT;Kansas
Wichita Falls;SPS;Texas
Wilkes-Barre/Scranton;AVP;Pennsylvania
Williamsport;IPT;Pennsylvania
Williston;ISN;North Dakota
Wilmington;ILG;Delaware
Wilmington;ILM;North Carolina
Windsor Locks;BDL;Connecticut
Winnemucca;WMC;Nevada
Winslow;INW;Arizona
Worcester;ORH;Massachusetts
Wrangell;WRG;Alaska
Yakima;YKM;Washington
Yakutat;YAK;Alaska
Youngstown/Warren;YNG;Ohio
